iteration,game_number,winner,total_moves,player_1_moves,player_minus1_moves,player_1_time_seconds,player_minus1_time_seconds,final_pieces_p1,final_pieces_p_1
21,4,1,93,47,46,4.747,4.533,7,6
21,5,-1,146,73,73,6.988,7.086,0,6
21,6,1,125,63,62,6.147,5.887,5,3
21,7,0,50,25,25,2.057,2.225,8,8
21,8,1,85,43,42,4.475,4.301,7,6
21,9,0,50,25,25,2.172,2.133,8,8
21,10,1,327,164,163,15.454,14.994,2,0
21,11,-1,126,63,63,5.933,6.606,2,7
21,12,-1,157,79,78,7.227,7.568,2,5
21,13,0,50,25,25,2.679,2.565,8,8
21,14,0,50,25,25,2.352,2.188,8,8
21,15,0,50,25,25,2.343,2.094,8,8
21,16,-1,141,71,70,6.526,6.659,5,7
21,17,0,50,25,25,2.575,2.58,8,8
21,18,1,65,33,32,3.068,3.063,8,7
21,19,1,103,52,51,5.255,5.27,7,6
21,20,1,95,48,47,4.268,4.134,7,6
22,1,1,156,78,78,7.762,7.188,6,5
22,2,1,111,56,55,5.293,5.088,8,5
22,3,0,78,39,39,3.665,3.273,7,7
22,4,0,50,25,25,2.12,2.109,8,8
22,5,-1,124,62,62,5.723,5.957,3,5
22,6,1,200,100,100,10.134,9.584,6,5
22,7,1,155,78,77,7.557,7.016,6,4
22,8,0,68,34,34,2.83,2.924,7,7
22,9,-1,199,100,99,9.13,9.114,4,5
22,10,1,259,130,129,12.251,11.767,2,1
22,11,1,111,56,55,5.478,5.563,8,6
22,12,0,50,25,25,2.087,2.08,8,8
22,13,-1,184,92,92,9.268,9.615,1,8
22,14,0,50,25,25,2.365,2.024,8,8
22,15,1,77,39,38,3.382,3.219,8,7
22,16,1,181,91,90,8.717,8.618,5,1
22,17,0,141,71,70,6.395,6.234,4,4
22,18,0,50,25,25,2.321,2.05,8,8
22,19,0,127,64,63,6.057,5.732,7,7
22,20,0,50,25,25,1.997,1.889,8,8
23,1,-1,148,74,74,6.902,6.832,0,6
23,2,0,50,25,25,2.979,2.697,8,8
23,3,0,98,49,49,3.947,3.832,7,7
23,4,1,119,60,59,5.683,5.438,5,1
23,5,1,97,49,48,4.826,4.517,7,5
23,6,1,209,105,104,10.584,9.751,6,5
23,7,1,83,42,41,4.502,4.524,8,7
23,8,0,75,38,37,3.365,3.387,6,6
23,9,-1,64,32,32,3.33,3.239,7,8
23,10,-1,132,66,66,6.588,6.366,2,6
23,11,0,112,56,56,5.768,5.321,7,7
23,12,0,50,25,25,2.155,2.098,8,8
23,13,0,50,25,25,2.1,1.989,8,8
23,14,1,73,37,36,4.032,3.703,8,6
23,15,1,249,125,124,11.872,11.282,6,1
23,16,1,134,67,67,6.272,5.725,7,6
23,17,1,81,41,40,4.02,3.799,8,6
23,18,1,91,46,45,4.64,4.289,7,6
23,19,1,101,51,50,4.251,4.119,7,6
23,20,0,50,25,25,2.788,2.687,8,8
24,1,0,50,25,25,2.266,2.048,8,8
24,2,0,50,25,25,2.807,2.634,8,8
24,3,-1,64,32,32,2.704,2.614,7,8
24,4,-1,70,35,35,3.337,3.587,6,7
24,5,0,50,25,25,2.34,2.166,8,8
24,6,0,50,25,25,2.085,2.012,8,8
24,7,1,102,51,51,4.954,5.093,7,6
24,8,0,50,25,25,2.146,2.017,8,8
24,9,1,63,32,31,3.354,3.224,8,7
24,10,1,81,41,40,3.464,3.616,8,7
24,11,-1,142,71,71,6.67,6.882,3,6
24,12,-1,125,63,62,5.821,6.114,6,7
24,13,1,79,40,39,4.053,3.821,8,7
24,14,1,87,44,43,3.784,3.621,7,6
24,15,-1,68,34,34,3.487,3.621,7,8
24,16,-1,64,32,32,2.669,2.57,7,8
24,17,-1,74,37,37,3.733,3.691,7,8
24,18,-1,254,127,127,11.515,11.391,2,4
24,19,1,87,44,43,4.4,4.449,8,5
24,20,0,84,42,42,4.03,3.847,7,7
25,1,1,71,36,35,3.346,2.97,8,6
25,2,-1,198,99,99,9.818,9.93,0,4
25,3,-1,119,60,59,5.65,5.818,4,5
25,4,0,60,30,30,2.552,2.507,7,7
25,5,1,83,42,41,4.54,4.126,7,6
25,6,1,106,53,53,4.564,4.407,7,6
25,7,0,50,25,25,2.782,2.64,8,8
25,8,1,93,47,46,4.055,4.005,8,6
25,9,-1,90,45,45,4.403,4.486,4,7
25,10,0,50,25,25,2.37,2.073,8,8
25,11,0,50,25,25,2.832,2.779,8,8
25,12,1,147,74,73,7.242,6.944,7,6
25,13,1,287,144,143,13.562,13.276,5,1
25,14,0,50,25,25,2.085,2.113,8,8
25,15,0,50,25,25,2.116,2.046,8,8
25,16,0,93,47,46,4.643,4.655,5,5
25,17,0,50,25,25,2.137,1.978,8,8
25,18,-1,162,81,81,7.457,7.439,2,7
25,19,0,50,25,25,2.725,2.666,8,8
25,20,1,217,109,108,9.945,9.637,5,0
26,1,1,113,57,56,5.476,5.06,6,4
26,2,-1,178,89,89,8.667,8.504,0,6
26,3,0,120,60,60,5.698,5.663,6,6
26,4,0,50,25,25,2.357,2.25,8,8
26,5,1,81,41,40,3.862,3.556,7,5
26,6,-1,198,99,99,9.677,9.682,0,6
26,7,0,50,25,25,2.118,1.993,8,8
26,8,1,77,39,38,4.101,3.959,8,7
26,9,0,50,25,25,2.044,2.212,8,8
26,10,1,85,43,42,4.44,4.325,8,7
26,11,1,71,36,35,3.12,2.932,8,7
26,12,1,99,50,49,4.916,5.113,6,5
26,13,-1,160,80,80,7.767,7.662,0,6
26,14,-1,174,87,87,8.275,8.319,1,5
26,15,1,119,60,59,5.993,5.813,7,6
26,16,1,73,37,36,3.386,3.515,8,6
26,17,0,50,25,25,2.649,2.604,8,8
26,18,1,69,35,34,3.058,2.91,8,7
26,19,-1,125,63,62,6.483,6.241,3,6
26,20,1,157,79,78,7.347,7.689,4,3
27,1,1,207,104,103,9.562,9.293,5,2
27,2,1,59,30,29,2.486,2.386,8,7
27,3,-1,181,91,90,8.851,8.951,4,6
27,4,-1,202,101,101,9.255,9.387,0,3
27,5,-1,146,73,73,6.707,6.664,1,3
27,6,1,231,116,115,11.664,11.002,5,2
27,7,1,67,34,33,3.132,2.793,8,7
27,8,0,50,25,25,2.096,2.093,8,8
27,9,0,60,30,30,3.229,3.207,7,7
27,10,1,224,112,112,10.445,9.852,5,3
27,11,1,81,41,40,4.498,4.096,8,7
27,12,1,205,103,102,9.404,9.732,5,3
27,13,-1,240,120,120,11.466,11.249,0,3
27,14,-1,208,104,104,9.414,9.275,1,2
27,15,1,215,108,107,10.59,10.516,5,1
27,16,1,91,46,45,3.9,3.984,8,6
27,17,-1,254,127,127,11.874,12.326,1,6
27,18,1,191,96,95,8.8,9.208,4,3
27,19,1,141,71,70,6.823,6.769,7,5
27,20,-1,195,98,97,9.621,9.97,2,5
28,1,-1,140,70,70,6.637,6.604,3,5
28,2,-1,82,41,41,4.213,4.455,6,8
28,3,0,72,36,36,3.043,3.051,7,7
