iteration,game_number,winner,total_moves,player_1_moves,player_minus1_moves,player_1_time_seconds,player_minus1_time_seconds,final_pieces_p1,final_pieces_p_1
6,1,0,50,25,25,2.562,2.57,8,8
6,2,1,140,70,70,11.965,11.158,7,5
6,3,0,50,25,25,3.009,2.822,8,8
6,4,1,71,36,35,4.807,4.853,8,7
6,5,0,50,25,25,2.452,2.36,8,8
6,6,0,50,25,25,2.581,2.547,8,8
6,7,-1,194,97,97,10.399,10.543,1,3
6,8,0,219,110,109,11.231,11.288,2,2
6,9,1,187,94,93,10.19,9.872,4,2
6,10,1,65,33,32,3.053,2.991,8,7
6,11,1,117,59,58,6.486,6.42,7,6
6,12,1,86,43,43,4.811,4.621,7,6
6,13,1,101,51,50,5.417,5.406,8,5
6,14,1,97,49,48,4.742,4.536,8,7
6,15,-1,166,83,83,8.68,8.903,1,5
6,16,0,50,25,25,2.722,2.694,8,8
6,17,1,199,100,99,10.302,9.824,6,0
6,18,0,72,36,36,4.284,3.958,7,7
6,19,1,63,32,31,2.964,2.838,8,6
6,20,0,149,75,74,7.932,7.636,3,3
7,1,1,123,62,61,6.607,6.318,7,6
7,2,1,195,98,97,10.985,10.322,6,4
7,3,0,50,25,25,2.338,2.284,8,8
7,4,1,63,32,31,3.607,3.774,8,7
7,5,1,237,119,118,12.265,11.936,5,2
7,6,-1,220,110,110,11.659,11.905,0,2
7,7,0,87,44,43,4.736,4.517,7,7
7,8,0,50,25,25,2.594,2.494,8,8
7,9,0,70,35,35,3.771,3.455,7,7
7,10,-1,175,88,87,9.39,9.42,4,6
7,11,1,197,99,98,10.007,10.042,4,1
7,12,1,107,54,53,5.83,5.895,6,4
7,13,-1,60,30,30,3.028,2.854,7,8
7,14,0,87,44,43,4.741,4.499,7,7
7,15,-1,96,48,48,5.429,5.2,5,8
7,16,0,50,25,25,2.27,2.281,8,8
7,17,1,279,140,139,14.604,14.316,2,1
7,18,0,50,25,25,2.729,2.672,8,8
7,19,1,128,64,64,6.843,6.315,6,4
7,20,1,299,150,149,16.346,15.592,2,1
8,1,1,93,47,46,5.013,4.627,7,4
8,2,-1,143,72,71,7.853,7.576,6,7
8,3,1,73,37,36,3.945,3.568,7,6
8,4,1,115,58,57,6.253,6.125,7,5
8,5,1,67,34,33,3.377,3.52,8,7
8,6,0,50,25,25,2.886,2.803,8,8
8,7,1,185,93,92,9.44,9.567,3,0
8,8,0,50,25,25,2.882,2.826,8,8
8,9,-1,82,41,41,4.047,3.889,7,8
8,10,0,97,49,48,5.319,5.377,7,7
8,11,1,217,109,108,11.635,11.047,7,3
8,12,1,233,117,116,12.566,12.309,5,4
8,13,1,130,65,65,6.868,6.839,4,3
8,14,1,236,118,118,12.999,12.489,4,3
8,15,1,155,78,77,8.104,8.093,5,1
8,16,1,111,56,55,6.156,5.975,7,6
8,17,1,105,53,52,5.956,5.683,8,4
8,18,1,95,48,47,4.843,4.479,8,7
8,19,0,50,25,25,3.146,3.011,8,8
8,20,1,89,45,44,4.358,4.167,8,6
9,1,0,50,25,25,2.36,2.56,8,8
9,2,0,78,39,39,4.547,4.445,7,7
9,3,1,87,44,43,4.132,4.022,8,7
9,4,1,245,123,122,13.301,13.197,5,1
9,5,1,209,105,104,11.744,11.158,4,0
9,6,-1,130,65,65,6.917,7.12,0,4
9,7,1,101,51,50,5.158,4.999,7,5
9,8,0,50,25,25,3.214,2.891,8,8
9,9,0,50,25,25,2.34,2.292,8,8
9,10,1,97,49,48,5.466,5.39,8,7
9,11,0,83,42,41,4.348,4.605,7,7
9,12,1,174,87,87,9.125,9.059,4,3
9,13,1,75,38,37,3.576,3.566,8,7
9,14,0,50,25,25,3.203,3.079,8,8
9,15,1,65,33,32,3.145,3.269,8,7
9,16,0,63,32,31,3.77,3.591,7,7
9,17,1,103,52,51,5.406,5.08,8,5
9,18,0,50,25,25,2.793,2.74,8,8
9,19,1,185,93,92,9.925,9.42,8,3
9,20,1,57,29,28,3.432,3.351,8,7
10,1,0,50,25,25,2.527,2.662,8,8
10,2,1,251,126,125,12.97,12.878,7,4
10,3,0,50,25,25,3.077,2.94,8,8
10,4,0,50,25,25,2.278,2.172,8,8
10,5,0,50,25,25,2.308,2.486,8,8
10,6,1,97,49,48,5.317,5.035,8,7
10,7,0,79,40,39,4.679,4.203,7,7
10,8,0,128,64,64,6.417,6.206,7,7
10,9,-1,116,58,58,5.557,5.638,1,4
10,10,0,86,43,43,4.756,4.554,7,7
10,11,0,98,49,49,5.253,5.426,7,7
10,12,1,219,110,109,10.932,10.623,5,2
10,13,0,50,25,25,3.31,2.948,8,8
10,14,1,111,56,55,5.525,5.373,7,6
10,15,0,50,25,25,2.883,2.742,8,8
10,16,0,50,25,25,2.567,2.236,8,8
10,17,0,50,25,25,2.944,2.755,8,8
10,18,0,50,25,25,2.574,2.498,8,8
10,19,1,85,43,42,4.751,4.797,8,7
10,20,0,102,51,51,5.028,4.894,7,7
